;Version;Bit Type;Variable;Default Value;Variable;Condition;value;TypeNo;Comments
;R13-R14;;;;;;;;
;;BS;arrowhead type;;;;;;
;;BD;dim asz;;;;;;
;;B;unknown2;;;;;;
;;B;unknown3;;;;;;
;;BS;unknown4;;;;;;
;;BS;byblockcolor;;;;;;
;;B;unknown5;;;;;;
;;B;unknown6;;;;;;
;R2000+;;;;;;;;
;;BS;unknown7;;;;;;
;;B;unknown8;;;;;;
;;B;unknown9;;;;;;
;Common;;;;;;;;
;;X;CEHD;;;;;;
;;H;associated annotation;;;;;;
;;H;dim style;;;;;;
;;X;CRC;;;;;;
TOLERANCE;;;;;;;;46;
;Common;;;;;;;;
;;X;CED;;;;;;
;R13-R14;;;;;;;;
;;BS;UNKNOWN1;;;;;;
;;BD;HEIGHT;;;;;;
;;BD;dim gap;;;;;;
;Common;;;;;;;;
;;3BD;ins point;;;;;;
;;3BD;x direction;;;;;;
;;3BD;extruision;;;;;;
;;BS;text string;;;;;;
;;X;CEHD;;;;;;
;;H;dim style;;;;;;
;;X;CRC;;;;;;
mline;;;;;;;;47;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BD;scale;;;;;;
;;RC;justification;;;;;;
;;3BD;base point;;;;;;
;;3BD;extrusion;;;;;;
;;BS;open;;;;;;
;;RC;line in style;;;;;;
;;BS;num vertex;;;;;;
;;;;;;;;;
;;X;CEHD;;;;;;
;;H;mline style;;;;;;
;;X;CRC;;;;;;
Block_Control;;;;;;;;48;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;R2004+;;;;;;;;
;;B;XDic_Missing;;;;;;
;Common;;;;;;;;
;;BL;Num Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;Handles;;Num Entries;RANGE;;;
;;H;MODEL SPACE HANDLE;;;;;;
;;H;PAPER SPACE HANDLE;;;;;;
;;X;CRC;;;;;;
block_header;;;;;;;;49;
;Common;;;;;;;;
;;H;handle;;;;;;
;;X;EED;;;;;;
;;TV;entry name;;;;;;
;;B;flag 64;;;;;;
;;BS;xrefindex_1;;;;;;
;;B;xdep;;;;;;
;;B;anonymous;;;;;;
;;B;has atts;;;;;;
;;B;is ref;;;;;;
;;B;xref overlaid;;;;;;
;R2000+;;;;;;;;
;;B;loaded bit;;;;;;
;R2004+;;;;;;;;
;;BL;owned object count;;;;;;
;Common;;;;;;;;
;;3BD;base point;;;;;;
;;TV;xref path name;;;;;;
;R2000+;;;;;;;;
;;inscount;insert count;;;;;;
;;TV;block description;;;;;;
;;BL;preview size;;;;;;
;;RC;preview data;;preview size;RANGE;;;
;R2007+;;;;;;;;
;;BS;insert units;;;;;;
;;B;explodable;;;;;;
;;RC;block scaling;;;;;;
;Common;;;;;;;;
;;H;block control;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobjhandle;;;;;;
;;H;Handle null;;;;;;
;;H;block entity;;;;;;
;R13-R2000;;;;;;;;
;;H;first entry;;!xref overlaid & !is ref; == ;True;;
;;H;last entry;;!xref overlaid & !is ref; == ;True;;
;R2004+;;;;;;;;
;;H;Owned Object handles;;;;;;
;Common;;;;;;;;
;;H;endblk entity;;;;;;
;R2000+;;;;;;;;
;;H;insert handles;;insert count;RANGE;;;
;;H;layout handle;;;;;;
;Common;;;;;;;;
;;X;CRC;;;;;;
LAYER_Control;;;;;;;;50;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;layer objhandles;;Num Entries;RANGE;;;
